CAMIS,DBA,ZIPCODE,CUISINE_DESCRIPTION,INSPECTION_DATE,SCORE,Latitude,Longitude,GRADE
41440130,TONYS PIZZA ON NOSTRAND,11225,Pizza,4/25/2022,13,40.6688229,-73.95060748,A
41440450,"KFC, TACO BELL",11222,Tex-Mex,7/26/2021,17,40.72946877,-73.95091595,B
41440450,"KFC, TACO BELL",11222,Tex-Mex,9/8/2021,32,40.72946877,-73.95091595,C
41440450,"KFC, TACO BELL",11222,Tex-Mex,9/29/2021,5,40.72946877,-73.95091595,A
41440450,"KFC, TACO BELL",11222,Tex-Mex,6/21/2022,36,40.72946877,-73.95091595,C
41441196,MOTORINO PIZZERIA NAPOLETANA,10003,Pizza,3/29/2022,20,40.73052127,-73.98473406,B
41441196,MOTORINO PIZZERIA NAPOLETANA,10003,Pizza,9/27/2022,13,40.73052127,-73.98473406,A
41441326,KEG AND LANTERN TAVERN,11222,Irish,3/30/2022,36,40.72395698,-73.95023455,C
41441326,KEG AND LANTERN TAVERN,11222,Irish,9/26/2022,12,40.72395698,-73.95023455,A
41441462,DUNKIN,11429,Donuts,12/2/2021,18,40.70707813,-73.75112747,B
41441462,DUNKIN,11429,Donuts,1/26/2022,13,40.70707813,-73.75112747,A
41441462,DUNKIN,11429,Donuts,9/16/2022,13,40.70707813,-73.75112747,A
41441571,FRANKIE'S KITCHEN,10003,American,3/24/2022,10,40.72835355,-73.99075991,A
41441583,KAPAMILYA,11377,Filipino,4/1/2022,30,40.74633999,-73.89612278,C
41441935,PROJECT PARLOR,11205,American,4/22/2022,12,40.69490483,-73.95318093,A
41442084,EL PARADOR CAFE,10016,Mexican,4/20/2022,32,40.74434764,-73.97484618,C
41442317,CROWN FRIED CHICKEN,11207,Chicken,3/28/2022,13,40.66095876,-73.88504675,A
41442734,THE SACKETT,11217,American,9/2/2022,0,40.6778103,-73.98201699,A
41442898,C & L IMPERIAL INC,11355,Asian/Asian Fusion,9/22/2022,32,40.74367997,-73.82565718,C
41442937,AKSARAY TURKISH CAFE AND RESTAURANT,11229,Turkish,4/1/2022,13,40.61003246,-73.95758779,A
41443528,MMM THATS A WRAP,11361,American,3/31/2022,12,40.75881797,-73.76856664,A
41443633,LUCKY'S FAMOUS BURGERS,10011,Hamburgers,3/29/2022,31,40.74480875,-73.99737633,C
41443633,LUCKY'S FAMOUS BURGERS,10011,Hamburgers,8/17/2022,23,40.74480875,-73.99737633,B
41443646,STARBUCKS,10001,Coffee/Tea,8/29/2022,2,40.74711976,-73.99499068,A
41443726,MCKENNA'S PUB,10011,American,3/3/2022,50,40.73914633,-74.00112588,C
41443726,MCKENNA'S PUB,10011,American,9/28/2022,22,40.73914633,-74.00112588,B
