CAMIS,ZIPCODE,INSPECTION_DATE,SCORE,GRADE
41653831,10034,6/23/2022,75,C
41288962,10040,8/23/2019,12,A
50065408,10468,10/9/2019,27,B
50072506,11221,5/9/2022,17,B
50086044,10452,1/22/2020,40,C
41647039,11103,4/13/2022,12,A
50045829,10029,2/16/2022,0,A
50072346,11375,10/1/2019,0,A
50105244,11101,12/2/2021,12,A
50002062,10451,4/3/2019,23,B
50061007,11209,8/15/2019,21,B
41649581,11228,1/26/2022,21,B
50098175,10035,10/24/2019,10,A
50000768,11430,11/14/2019,56,C
50109257,11412,12/23/2021,13,A
50034232,10451,8/21/2021,0,A
50063280,10458,2/6/2019,12,A
41204942,10003,11/12/2019,25,B
41106672,11217,10/24/2022,21,B
41308515,11222,7/24/2019,26,B
41587257,10462,11/30/2021,11,A
50067074,10010,10/22/2019,0,A
50002599,11201,11/5/2018,0,A
41209159,10009,8/30/2016,5,A
50018536,11211,4/28/2022,11,A
50081658,11371,12/13/2018,9,A
40378212,10029,2/24/2022,21,B
50006537,11201,9/29/2019,0,A
41108575,11430,11/14/2018,9,A
50072637,11236,4/29/2019,10,A
41672897,11434,1/6/2020,13,A
41377598,11237,5/22/2019,16,B
50102823,10121,3/6/2020,9,A
50100036,11357,4/13/2022,22,B
41374707,10036,2/9/2022,58,C
40401224,11214,10/28/2019,37,C
41677328,11226,9/10/2019,18,B
50044588,10121,5/30/2019,0,A
50016847,10458,9/12/2021,0,A
50102647,11204,11/15/2021,17,B
50066854,10005,10/15/2019,12,A
50078474,11220,7/6/2019,13,A
40395723,10023,9/6/2019,7,A
50017669,11434,10/15/2019,81,C
41168758,10305,10/5/2022,22,B
50001260,10467,3/16/2022,16,B
41698490,11101,10/25/2019,12,A
50044537,10121,7/20/2016,0,A
50047979,10031,6/6/2018,34,C
50047108,10014,11/15/2019,30,C
40366661,10016,6/2/2022,68,C
50098510,10013,9/16/2022,0,A
50097499,11420,1/22/2020,73,C
50107085,11354,6/1/2022,30,C
50000419,10019,4/3/2019,15,B
50110486,11419,8/3/2021,46,C
50078907,10128,3/11/2020,44,C
41543813,10018,2/13/2020,12,A
50045126,11234,10/15/2019,29,C
50106310,10019,10/26/2021,0,A
40553657,11215,2/3/2022,0,A
50035278,10010,5/17/2022,40,C
40960698,11372,1/31/2022,13,A
41696163,10025,12/4/2019,10,A
41387635,11378,2/25/2022,19,B
50061025,10038,6/22/2022,46,C
41463446,10314,4/30/2019,9,A
41422704,10463,4/12/2022,13,A
50088740,11357,4/17/2019,9,A
50101643,11218,4/18/2022,30,C
41618394,11103,8/30/2021,13,A
50041663,11372,9/25/2018,12,A
41545062,11363,1/12/2018,32,C
50114370,11213,10/4/2022,30,C
50089474,10014,2/28/2022,67,C
41717852,10004,6/27/2022,79,C
50110709,10028,8/9/2022,54,C
41562252,11106,2/19/2019,12,A
50056921,11225,12/18/2019,26,B
50045058,10121,3/16/2017,0,A
50063848,11101,6/1/2018,30,C
50057552,11208,12/17/2019,13,A
50038938,11219,4/9/2022,0,A
41495525,11211,10/13/2022,18,B
41387014,11228,5/8/2019,0,A
41659910,11221,8/18/2021,0,A
41411291,11211,7/20/2016,0,A
50127595,10011,9/26/2022,30,C
41064439,10029,12/11/2019,0,A
50069068,10009,1/22/2020,0,A
41486182,11209,4/15/2022,13,A
40373160,11218,9/27/2019,13,A
50034445,11355,1/20/2018,22,B
41355257,11232,4/28/2022,37,C
50089120,11231,6/16/2019,0,A
50042800,10014,8/20/2019,11,A
50095705,10012,5/27/2022,12,A
41248845,11201,2/22/2019,55,C
50071419,11220,5/11/2022,13,A
50111433,10003,1/14/2022,0,A
41564956,10020,6/15/2016,0,A
41265582,11354,11/19/2019,22,B
50047532,11203,1/14/2022,9,A
50042067,10029,7/11/2022,36,C
50081658,11371,2/6/2020,13,A
50043658,11205,11/14/2019,30,C
50032780,11430,6/1/2022,24,B
41444679,10454,8/17/2022,26,B
50044513,10121,7/20/2016,0,A
50086856,11373,8/30/2022,39,C
50072534,10128,7/11/2019,13,A
50055888,11419,3/19/2019,36,C
50010952,11225,10/28/2019,13,A
50060427,11217,5/6/2019,12,A
41176558,10462,1/10/2020,13,A
50068366,11207,1/8/2020,16,B
40871961,11213,3/18/2019,18,B
41391463,11430,6/1/2022,31,C
50070184,10025,1/27/2020,25,B
40755766,11368,8/23/2021,47,C
50057614,10002,9/28/2019,0,A
41635173,10011,8/2/2019,6,A
50106146,10024,1/10/2022,22,B
40667358,10016,7/22/2021,37,C
50075900,11216,6/3/2022,30,C
40369482,11239,5/22/2019,22,B
50077989,10003,9/4/2019,11,A
50032701,10038,9/27/2022,25,B
41290491,10128,8/16/2019,0,A
50080577,11361,10/10/2018,7,A
50092960,11215,4/29/2022,0,A
41706342,11430,1/18/2018,4,A
50106783,11416,11/23/2021,47,C
50073152,11361,3/20/2019,12,A
50081641,11371,2/6/2020,0,A
50049489,11103,3/6/2017,7,A
41313114,10023,3/25/2019,10,A
50066286,11420,9/12/2022,22,B
50099005,10018,6/23/2022,33,C
41040849,10017,8/24/2021,18,B
50045170,11372,2/23/2022,13,A
41627315,10007,3/20/2019,0,A
50079419,10011,9/26/2019,8,A
50056806,10457,12/28/2017,13,A
41433437,11238,1/27/2018,0,A
50085911,11220,5/16/2022,20,B
41406303,11215,3/31/2022,23,B
41465455,11212,12/3/2019,13,A
41604442,11372,6/10/2022,29,C
50046060,10013,5/4/2022,21,B
50107891,11103,6/23/2022,0,A
41697314,10128,9/9/2019,34,C
50013086,11201,4/15/2019,10,A
50047557,11209,3/21/2019,42,C
41696163,10025,4/26/2022,19,B
41444291,10003,3/2/2022,10,A
50059960,10027,3/30/2019,12,A
50033801,10027,7/30/2019,47,C
40865775,11358,10/15/2019,9,A
41074013,10036,6/20/2019,19,B
50073223,11357,7/11/2022,23,B
41690737,10012,5/3/2022,16,B
41539993,11220,2/25/2019,12,A
50044761,10039,3/9/2022,7,A
40949905,10002,7/19/2021,12,A
50071458,11203,8/17/2022,0,A
50046513,11101,9/20/2019,17,B
50073715,11204,12/30/2019,9,A
50094553,11223,7/12/2022,17,B
50044430,10460,4/11/2019,10,A
50040360,11213,7/24/2019,26,B
41523226,11368,5/20/2022,27,B
50002425,11430,12/7/2016,0,A
50078965,11224,6/26/2018,28,C
50106659,10003,5/4/2022,12,A
41446174,11364,8/29/2022,24,B
50011568,11101,3/4/2020,15,B
50101338,10002,10/17/2022,23,B
41258880,11430,6/1/2022,0,A
50071494,11238,5/14/2022,7,A
50018008,10022,10/3/2019,0,A
50077964,10002,10/10/2019,66,C
50044785,10121,5/30/2019,0,A
41489197,11238,4/14/2022,12,A
50018021,11435,1/24/2022,0,A
50062458,11102,7/22/2019,12,A
50110277,10017,3/2/2022,0,A
50072560,11214,1/9/2020,0,A
50056743,11237,11/13/2019,13,A
50036795,11231,11/2/2019,19,B
41380243,11358,8/31/2021,12,A
50056993,10013,2/18/2022,20,B
50075521,11358,3/5/2020,5,A
50058097,11213,8/9/2019,0,A
50000310,11373,9/9/2022,50,C
50008073,10013,9/17/2019,12,A
41423445,11354,6/3/2019,13,A
50089929,11419,1/16/2020,16,B
41215408,11356,1/24/2022,65,C
40394030,10463,2/17/2022,17,B
50059607,11219,5/19/2022,53,C
50075332,10036,5/18/2019,0,A
50107800,11212,9/21/2022,24,B
50118940,10010,8/16/2022,28,C
41452375,10014,4/24/2018,10,A
40385680,10469,3/10/2022,7,A
41712295,11209,3/27/2019,0,A
50089950,11354,7/12/2019,17,B
50086766,11354,8/6/2022,22,B
50095254,10018,7/11/2022,48,C
41647192,11101,2/11/2020,21,B
50010034,10029,2/10/2020,43,C
50055591,10455,12/16/2019,9,A
40931569,10466,8/26/2019,20,B
50002612,11249,2/10/2022,27,B
41014056,11377,7/20/2021,10,A
50019068,10012,1/17/2020,35,C
50047245,10016,9/12/2018,11,A
50044522,10121,5/30/2019,0,A
41219569,10038,3/31/2022,32,C
50073933,11373,9/19/2022,80,C
50093870,11226,5/3/2022,21,B
41697195,10013,1/2/2020,33,C
50112271,11357,11/10/2021,33,C
40962159,10301,10/9/2019,9,A
50063685,10014,5/18/2022,0,A
50004619,10013,5/24/2019,20,B
41685035,11238,3/3/2020,21,B
50104289,11375,1/4/2022,18,B
41077320,11231,8/16/2019,22,B
40579869,10016,9/12/2018,25,B
50118633,10003,9/14/2022,23,B
41716632,11357,11/19/2019,27,B
40364439,10014,8/4/2021,27,B
50101503,10035,10/14/2021,12,A
50069543,10012,5/21/2018,17,B
41249648,10022,2/12/2020,32,C
50121236,10030,4/20/2022,28,C
50042937,10065,3/27/2019,11,A
41362524,11430,8/11/2022,6,A
40638792,10012,4/30/2019,12,A
50103737,11216,11/12/2021,33,C
50011891,10013,8/11/2021,28,C
40725853,11205,4/24/2019,13,A
50044403,11220,9/11/2019,10,A
50050424,10001,8/25/2021,13,A
50055359,11237,7/11/2019,10,A
41405889,10038,9/15/2022,27,B
41688149,11217,6/4/2019,12,A
41691159,10457,10/1/2019,9,A
50098516,11354,8/24/2021,21,B
50088248,11220,8/4/2021,33,C
50009442,10027,5/8/2019,10,A
50032862,11210,7/18/2022,20,B
50099475,10011,8/17/2022,58,C
50098771,10456,7/1/2022,57,C
41542651,11208,12/27/2021,11,A
50051745,10464,8/10/2016,18,B
50087778,10002,5/24/2019,9,A
50055124,10036,8/12/2021,16,B
40885315,10022,9/20/2022,12,A
50072645,11210,7/15/2022,12,A
50106336,10459,8/1/2022,0,A
41265425,11385,12/1/2018,43,C
50114677,10014,6/23/2022,13,A
50112528,10018,8/9/2021,13,A
50000154,11230,3/17/2018,0,A
41257059,10301,2/26/2020,36,C
41599083,11217,4/18/2019,13,A
50009079,11214,2/7/2022,39,C
50011059,10009,5/4/2022,28,C
