CAMIS,Image
40871961,Contamination
50032873,Contamination
50105615,Sanitation
41705740,Rats
50110044,Flies
50037588,Rats
50115174,Quality
50122395,Contamination
50067332,Rats
50011099,Temperature
50106303,Quality
41598963,Flies
50057386,Flies
50086327,Others
50127233,Quality
50097100,Sanitation
50056824,Rats
50108514,Temperature
50017154,Roach
50100947,Contamination
50086657,Rats
50089730,Contamination
41204715,Contamination
50076107,Contamination
50106466,Flies
50079182,Rats
50079640,Sanitation
41383189,Contamination
50055359,Rats
50105070,Temperature
41530091,Temperature
50015282,Contamination
50113210,Rats
50094950,Rats
50003774,Contamination
41579300,Rats
50057982,Contamination
41290491,Contamination
40933911,Contamination
50067622,Quality
41689524,Rats
41722472,Temperature
50065412,Rats
50042380,Roach
50087052,Flies
41223838,Quality
50075224,Rats
41066767,Rats
50033839,Rats
40375369,Contamination
50084756,Contamination
41634043,Contamination
50076792,Contamination
50097152,Quality
50001406,Quality
50035490,Temperature
50075379,Temperature
50077756,Rats
50107410,Contamination
50073715,Rats
41711586,Contamination
50054598,Contamination
41632050,Temperature
41279614,Contamination
40392496,Rats
50085351,Contamination
41512057,Contamination
40996589,Contamination
50089120,Contamination
50107625,Contamination
50034665,Contamination
50000544,Quality
41276200,Contamination
50112521,Rats
41400682,Rats
50081337,Roach
50088958,Temperature
50105901,Contamination
41678553,Contamination
41405205,Contamination
40788884,Contamination
50122456,Contamination
50051756,Contamination
50053703,Roach
50075962,Contamination
50085352,Contamination
50086154,Contamination
41225222,Contamination
50106941,Rats
50043918,Contamination
41191695,Sanitation
50051269,Flies
50089684,Temperature
50096038,Contamination
50115810,Contamination
50087783,Contamination
41694248,Flies
50100371,Sanitation
50106630,Temperature
50019120,Temperature
50065915,Contamination
50055183,Contamination
50088413,Rats
41288201,Rats
41558918,Contamination
40669697,Temperature
41217591,Contamination
50049689,Contamination
41286021,Contamination
50115170,Quality
50116017,Temperature
41485123,Contamination
50106251,Contamination
41638021,Contamination
50004442,Contamination
50056401,Rats
50112842,Contamination
50097274,Contamination
50082400,Temperature
50128159,Contamination
50113072,Contamination
41721444,Contamination
50118036,Contamination
50002362,Flies
50120023,Quality
50077989,Contamination
50098486,Contamination
41230004,Flies
50014149,Contamination
50082957,Temperature
50068980,Contamination
50016824,Contamination
50104486,Rats
50064506,Rats
41597047,Contamination
41490788,Rats
41699229,Rats
50001770,Contamination
40625667,Rats
50123810,Rats
50059126,Contamination
50078671,Contamination
41206524,Roach
50071784,Contamination
50000938,Contamination
40700664,Temperature
50032583,Contamination
50004619,Rats
40928150,Flies
50056338,Roach
41457424,Contamination
50059894,Contamination
40608422,Rats
50088951,Contamination
41208272,Rats
41591264,Contamination
50048576,Contamination
40602855,Contamination
41624508,Others
41650198,Temperature
50121750,Contamination
40482591,Rats
50052502,Temperature
41291373,Contamination
50111113,Contamination
50000546,Rats
50091227,Contamination
41705075,Rats
50076185,Rats
50019203,Rats
50057848,Rats
50082146,Contamination
50046429,Roach
50017406,Contamination
41553996,Contamination
50062750,Temperature
50100556,Contamination
50103473,Rats
41463532,Contamination
40379920,Contamination
40843676,Temperature
50122439,Flies
50053703,Temperature
41674018,Contamination
50073613,Contamination
50045738,Rats
41665255,Contamination
50121487,Sanitation
40604769,Rats
50100295,Rats
50103766,Flies
40704315,Rats
50112157,Contamination
50091978,Rats
50097057,Temperature
50077226,Rats
50010628,Temperature
40876297,Contamination
50083809,Sanitation
50093228,Rats
41305738,Contamination
50090011,Rats
50106093,Contamination
41434859,Quality
40384920,Sanitation
50109177,Contamination
50106693,Flies
50042460,Temperature
50010395,Rats
50100625,Contamination
50056854,Contamination
50087516,Quality
50035797,Flies
41642251,Flies
50009127,Rats
41243544,Sanitation
50042744,Contamination
40380996,Contamination
41229180,Flies
50126673,Sanitation
50107752,Contamination
40541030,Roach
41289876,Contamination
50088242,Contamination
40663950,Roach
50033106,Temperature
40919065,Rats
50009326,Temperature
41334633,Flies
50007127,Rats
50120993,Contamination
